n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
24,12,0.5,1,45,540,576,24,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,25,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,26,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,27,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,28,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,29,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,30,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,31,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,32,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,33,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,34,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,35,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,36,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,37,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,38,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,39,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,40,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,41,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,42,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,43,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,44,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,45,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,46,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,47,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,48,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,49,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,50,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,51,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,52,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,53,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,54,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,55,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,56,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,57,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,58,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,59,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,60,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,61,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,62,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,63,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,64,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,65,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,66,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,67,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,68,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,69,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,70,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,71,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,72,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,73,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,74,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,75,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,76,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,77,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,78,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,79,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,80,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,81,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,82,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,83,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,84,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,85,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,86,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,87,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,88,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,89,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,90,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,91,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,92,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,93,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,94,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,95,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,96,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,97,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,98,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,99,pkp_derived,540,576,0,36,0,0
32,16,0.5,1,61,976,1024,0,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,1,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,2,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,3,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,4,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,5,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,6,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,7,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,8,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,9,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,10,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,11,pkp_derived,976,1024,0,48,0,0
