N,K,codimension,nu,ell,log2_expected_solutions,kmp_log2,esser_santini_log2_exact_two_size,esser_santini_log2_smooth,psd_log2_exact_padded,psd_log2_asymptotic
107,55,52,11,1,-0.3337966812622426,252.6782933946459,436.5174603783104,436.09628431565915,382.8923285605947,378.0706573352097
108,55,53,11,1,-4.578909179098673,253.4389882039444,440.7890260383025,440.3411752253772,387.6472160627583,382.1362874081452
109,55,54,11,1,-8.810724854321847,254.23822904655594,445.073950176593,444.6096669824635,388.0934722926477,386.2152143036939
110,56,54,11,1,-2.0293651407972675,260.54927945834885,451.81842686958163,451.3616589253223,397.6117976003385,392.0164007272357
111,56,55,11,1,-6.234949274447104,261.2116196292952,456.12970251799106,455.6567710533909,399.0842853718013,396.1215591643578
112,56,56,11,1,-10.427594352389406,261.8758758583895,460.45397559484104,459.97450283864936,403.0842853718014,400.23965665718737
113,57,56,11,1,-3.6074153899742214,267.86097736745194,467.23744668326674,466.7558700168884,408.9044643342166,406.0796623296198
114,57,57,11,1,-7.774525375809503,268.61084876159447,471.58736851639117,471.0993337466962,412.7373543483813,410.2232949145564
115,58,57,11,1,-0.92903532486514,273.8911180870142,478.3962623661748,477.90604340581393,420.99788189860453,416.088611675518
116,58,58,11,1,-5.071054329737649,275.11704268258296,482.7713849136303,482.2747881304318,424.855862893732,420.25733524141737
117,58,59,11,1,-9.2006896101542,276.34075848132954,487.1589446413504,486.66487629729687,427.40429951842805,424.4384425317727
118,59,59,11,1,-2.318046560792368,279.6400324661703,494.0051518807504,493.49999308404847,435.6088706626773,430.34091229115177
119,59,60,11,1,-6.423228797484285,280.71844105575667,498.41726886095853,497.9145650179519,435.59679783037683,434.54647262523173
120,59,61,11,1,-10.51633820187601,281.8347019140168,502.8415094715957,502.3496768093093,442.50368842598516,438.7641057916119
121,60,61,11,1,-3.597474964601247,286.5658892004462,509.7240893147605,509.21275239081905,446.6151967412023,444.7027957389039
122,60,62,11,1,-7.666737627038401,287.3583096352113,514.1722757584669,513.671604041515,452.54593407876513,448.9442756472386
123,61,62,11,1,-0.7242231216991968,293.80880487676677,521.0786043384824,520.5586366342096,459.48844858410433,454.90661686259506
124,61,63,11,1,-4.770026811312164,294.46153259177976,525.5503456409884,525.0408437258801,461.85768239377023,459.17155574375397
125,61,64,11,1,-8.804242526650114,295.1182360867248,530.033721707037,529.5425347285529,467.3088935056025,463.4480825991879
126,62,64,11,1,-1.826962603150264,301.27915739357076,536.9749560912267,536.4566324164588,473.80074660193213,469.445189232705
127,62,65,11,1,-5.838277916378047,302.02914141916597,541.4813239215624,540.9810047106979,475.8825406930958,473.7446164902491
128,62,66,11,1,-9.838277916378047,302.81711184964547,545.9990516727574,545.5241907685772,482.4675031938169,478.05535906102097
129,63,66,11,1,-2.8270506609547965,308.81079980880025,552.9743672283183,552.4649332384488,484.08641302646146,484.08641302646146
130,63,67,11,1,-6.804682847926301,309.9820149466968,557.5145499436778,557.0301675685596,492.9161357615476,488.41952341026183
