nu,k_psd,k_prime,esser_santini_k_eff,esser_santini_a,esser_santini_b,esser_santini_r0,esser_santini_r1,a,b,r0,r1,q0,s0,q1,s1,log2_S,log2_partition_numerator,log2_partition_numerator_asymptotic,kmp_log2,esser_santini_log2_exact_two_size,esser_santini_log2_smooth,psd_log2_exact_padded,psd_log2_asymptotic
14,3718,3591,3654,57,6,7,6,56,7,8,7,7,1,1,0,0.0,119.39366414709822,121.30606514939663,136.8746970931322,205.663639516332,205.57423619894837,176.6014797946259,174.68907879232748
15,3691,3564,3627,56,43,8,7,55,44,9,8,2,2,5,4,0.0,119.01926863231674,125.18816192297356,132.54004088859958,200.28373835152303,200.0995767990159,176.97587530940737,170.80698201875055
16,3664,3537,3600,56,16,8,7,55,17,9,8,5,2,2,1,0.0,123.94408113592249,128.96073392040526,131.84503861862467,195.08232124707834,194.93143613523998,172.05106280580162,167.03441002131885
17,3637,3510,3573,55,53,9,8,54,54,10,9,1,0,6,0,0.0,132.6058592336945,132.6058592336945,131.51395959048963,190.13082498413456,190.03730328019574,163.3892847080296,163.3892847080296
18,3610,3483,3546,55,26,9,8,54,27,10,9,3,7,3,0,0.0,133.07979042202692,136.03432518394152,127.70052175835391,185.54284994519213,185.38958026163058,162.9153535196972,159.9608187577826
19,3583,3456,3519,54,63,10,9,54,0,10,9,6,4,0,0,0.0,135.33132918902288,139.4627911341885,127.09220501066062,180.97279681424695,180.96463944668912,160.66381475270123,156.5323528075356
20,3556,3429,3492,54,36,10,9,53,37,11,10,2,5,3,7,0.0,135.08026742485518,142.60540828814044,127.08628142916577,176.86871329123062,176.74209668319494,160.91487651686893,153.38973565358367
21,3529,3402,3465,54,9,10,9,53,10,11,10,4,10,1,0,0.0,144.58409316285093,145.7480254420924,126.15379688395832,172.76462976821426,172.70424352111687,151.41105077887318,150.2471184996317
22,3502,3375,3438,53,46,11,10,52,47,12,11,1,5,4,3,0.0,139.3292792638221,148.73869719987803,126.1199453362414,168.92153849970998,168.83559848094455,156.66586467790202,147.25644674184608
23,3475,3348,3411,53,19,11,10,52,20,12,11,3,8,1,9,0.0,145.52519947379733,151.63998931286,126.11941005225658,165.20894335846174,165.1225486177351,150.46994446792678,144.3551546288641
24,3448,3321,3384,52,56,12,11,51,57,13,12,0,7,4,9,0.0,146.1101619745185,154.48774041305168,122.49996584519994,161.5921293505421,161.55306041815055,149.88498196720562,141.50740352867243
